Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
1070056,Song,Brigit Pegeen Kelly,"Kelly, Brigit Pegeen",,"=""1880238136""","=""9781880238134""",0,4.32,BOA Editions Ltd.,Paperback,90,1994,1994,,2017/12/03,to-read,to-read (#489),to-read,,,,0,,,0,,,,,
764630,New Collected Poems,George Oppen,"Oppen, George","Michael Davidson, Eliot Weinberger","=""0811214885""","=""9780811214889""",0,4.52,New Directions,Hardcover,320,2002,2001,,2017/12/03,to-read,to-read (#488),to-read,,,,0,,,0,,,,,
3309420,My Vocabulary Did This to Me: The Collected Poetry,Jack Spicer,"Spicer, Jack","Peter Gizzi, Kevin Killian","=""0819568872""","=""9780819568878""",0,4.41,Wesleyan University Press ,Hardcover,508,2008,2008,,2017/12/03,to-read,to-read (#487),to-read,,,,0,,,0,,,,,
1331406,The Collected Poems of Weldon Kees (Revised Edition),Weldon Kees,"Kees, Weldon",Donald Justice,"=""0803258283""","=""9780803258280""",0,4.27,Bison Books,Paperback,180,1975,1975,,2017/12/03,to-read,to-read (#486),to-read,,,,0,,,0,,,,,
98946,The Changing Light at Sandover,James Merrill,"Merrill, James","Stephen Yenser, J.D. McClatchy","=""0307263215""","=""9780307263216""",0,4.27,Knopf,Hardcover,640,2006,1982,,2017/12/03,to-read,to-read (#485),to-read,,,,0,,,0,,,,,
9457848,The Book of Frank,C.A.  Conrad,"Conrad, C.A.",Eileen Myles,"=""1933517492""","=""9781933517490""",0,4.44,Wave Books,Paperback,176,2010,2009,,2017/12/03,to-read,to-read (#484),to-read,,,,0,,,0,,,,,
59005,The Selected Levis,Larry Levis,"Levis, Larry",David St. John,"=""0822957930""","=""9780822957935""",0,4.47,University of Pittsburgh Press,Paperback,224,2003,2000,,2017/12/03,to-read,to-read (#483),to-read,,,,0,,,0,,,,,
2799591,Holy Land,Rauan Klassnik,"Klassnik, Rauan",,"=""0977770966""","=""9780977770960""",0,4.51,Black Ocean,paperback,86,2008,2008,,2017/12/03,to-read,to-read (#482),to-read,,,,0,,,0,,,,,
196520,The Tunnel: Selected Poems,Russell Edson,"Edson, Russell",,"=""0932440657""","=""9780932440655""",0,4.32,Oberlin College Press,Paperback,232,1994,1994,,2017/12/03,to-read,to-read (#481),to-read,,,,0,,,0,,,,,
10441086,Ordinary Sun,Matthew Henriksen,"Henriksen, Matthew",,"=""0984475222""","=""9780984475223""",0,4.39,Black Ocean,Paperback,108,2011,2011,,2017/12/03,to-read,to-read (#480),to-read,,,,0,,,0,,,,,
1335568,Engine Summer,John Crowley,"Crowley, John",,"=""0553131990""","=""9780553131994""",0,4.05,Bantam,Mass Market Paperback,209,1980,1979,,2017/12/03,to-read,to-read (#479),to-read,,,,0,,,0,,,,,
34466930,Ka: Dar Oakley in the Ruin of Ymr,John Crowley,"Crowley, John",,"=""1481495593""","=""9781481495592""",0,3.81,Gallery / Saga Press,Hardcover,442,2017,2017,,2017/12/03,to-read,to-read (#478),to-read,,,,0,,,0,,,,,
90619,"Little, Big",John Crowley,"Crowley, John",,"=""0061120057""","=""9780061120053""",5,3.82,Harper Collins Publishers,Paperback,538,2006,1981,,2017/12/03,,,read,,,,1,,,0,,,,,
20945254,Attentat,Amélie Nothomb,"Nothomb, Amélie",,"=""""","=""""",0,3.48,LGF - Le Livre de Poche ,Mass Market Paperback,155,1999,1997,,2017/12/03,to-read,to-read (#477),to-read,,,,0,,,0,,,,,
1278509,Collected Poems of Vasko Popa,Vasko Popa,"Popa, Vasko","Ted Hughes, Francis R. Jones, Anne Pennington","=""0856462683""","=""9780856462689""",0,4.60,Carcanet Press Ltd.,Paperback,464,2004,1969,,2017/12/03,to-read,to-read (#476),to-read,,,,0,,,0,,,,,
6124984,Koreni,Dobrica Ćosić,"Ćosić, Dobrica",,"=""8670583089""","=""""",0,3.85,Gutenbergova galaksija,Hardcover,284,2005,1954,,2017/12/03,to-read,to-read (#475),to-read,,,,0,,,0,,,,,
12352397,Đački Rastanak i druge Pesme,Branko Radičević,"Radičević, Branko",,"=""8637909329""","=""9788637909323""",0,4.07,Srpska književna zadruga,,,2006,2006,,2017/12/03,to-read,to-read (#474),to-read,,,,0,,,0,,,,,
9582726,Na šesnaesti rođendan,Desanka Maksimović,"Maksimović, Desanka",,"=""""","=""""",0,4.54,Lastavica lektira,Hardcover,,1970,1970,,2017/12/03,to-read,to-read (#473),to-read,,,,0,,,0,,,,,
5461345,Izabrane pesme,Desanka Maksimović,"Maksimović, Desanka",,"=""8644106902""","=""9788644106906""",0,4.15,Draganić,Hardcover,,2006,1985,,2017/12/03,to-read,to-read (#472),to-read,,,,0,,,0,,,,,
