Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",4,4.22,Del Rey,Paperback,193,2007,1979,,2020/12/04,"science-fiction, classics, update, fiction","science-fiction (#5), classics (#26), update (#30), fiction (#132)",read,,,,1,,,0,,,,,
13125947,"Reached (Matched, #3)",Ally Condie,"Condie, Ally",,"=""0525423664""","=""9780525423669""",3,3.56,Penguin,Hardcover,512,2012,2012,,2020/12/04,"science-fiction, update, fiction","science-fiction (#23), update (#28), fiction (#188)",read,,,,1,,,0,,,,,
26082916,"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,"=""1524761338""","=""9781524761332""",0,3.51,Ballantine Books,Hardcover,370,2020,2020,,2020/12/04,"to-read, science-fiction, fiction","to-read (#64), science-fiction (#7), fiction (#190)",to-read,,,,0,,,0,,,,,
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.25,Crown Publishers,Hardcover,374,2011,2011,,2020/12/04,"science-fiction, to-read, fiction","science-fiction (#6), to-read (#63), fiction (#189)",to-read,,,,0,,,0,,,,,
667,Anthem,Ayn Rand,"Rand, Ayn",,"=""0452281253""","=""9780452281257""",0,3.63,NAL,Paperback,105,1999,1938,,2020/12/08,"to-read, classics, science-fiction, fiction","to-read (#237), classics (#28), science-fiction (#24), fiction (#134)",to-read,,,,0,,,0,,,,,
42046112,Recursion,Blake Crouch,"Crouch, Blake",,"=""1524759783""","=""9781524759780""",0,4.15,Crown Publishing Group (NY),Hardcover,336,2019,2019,,2020/12/02,"to-read, science-fiction, fiction","to-read (#47), science-fiction (#3), fiction (#184)",to-read,,,,0,,,0,,,,,
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.10,Crown,Hardcover,342,2016,2016,,2020/12/02,"to-read, science-fiction, fiction","to-read (#48), science-fiction (#2), fiction (#185)",to-read,,,,0,,,0,,,,,
9794437,"Crossed (Matched, #2)",Ally Condie,"Condie, Ally",,"=""0525423656""","=""9780525423652""",3,3.52,Dutton Children's,Hardcover,367,2011,2011,,2020/12/04,"science-fiction, update, fiction","science-fiction (#22), update (#27), fiction (#187)",read,,,,1,,,0,,,,,
76171,We,Yevgeny Zamyatin,"Zamyatin, Yevgeny",Clarence Brown,"=""0140185852""","=""9780140185850""",4,3.91,Penguin Classics,Paperback,255,1993,1920,2013/12/01,2020/11/22,"science-fiction, fiction","science-fiction (#19), fiction (#180)",read,,,,1,,,0,,,,,
16130537,The Humans,Matt Haig,"Haig, Matt",,"=""1476727910""","=""9781476727912""",0,4.09,Simon  Schuster,Hardcover,285,2013,2013,,2020/11/23,"to-read, science-fiction, fiction","to-read (#32), science-fiction (#8), fiction (#183)",to-read,,,,0,,,0,,,,,
22044026,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""""","=""""",0,3.99,Harper Perennial,Kindle Edition,384,2014,1932,,2020/11/26,"to-read, classics, science-fiction, fiction","to-read (#40), classics (#13), science-fiction (#21), fiction (#123)",to-read,,,,0,,,0,,,,,
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",0,4.00,Random House,Paperback,509,2004,2004,,2020/11/23,"to-read, science-fiction, fiction","to-read (#11), science-fiction (#4), fiction (#181)",to-read,,,,0,,,0,,,,,
7735333,"Matched (Matched, #1)",Ally Condie,"Condie, Ally",,"=""0525423648""","=""9780525423645""",3,3.66,Dutton Books for Young Readers,Hardcover,369,2010,2010,2011/02/01,2020/11/23,"science-fiction, fiction","science-fiction (#20), fiction (#182)",read,,,,1,,,0,,,,,
2703107,"Extras (Uglies, #4)",Scott Westerfeld,"Westerfeld, Scott",,"=""1416971211""","=""9781416971214""",3,3.60,Simon Pulse,Paperback,417,2009,2006,2009/10/01,2020/11/22,"science-fiction, fiction","science-fiction (#17), fiction (#179)",read,,,,1,,,0,,,,,
24768,"Pretties (Uglies, #2)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865392""","=""9780689865398""",3,3.84,Simon Pulse,Paperback,370,2005,2005,2009/03/01,2020/11/22,"science-fiction, fiction","science-fiction (#15), fiction (#177)",read,,,,1,,,0,,,,,
1151552,"Specials (Uglies, #3)",Scott Westerfeld,"Westerfeld, Scott",,"=""1416947957""","=""9781416947950""",3,3.76,Simon & Schuster Simon Pulse,Paperback,372,2007,2006,2009/04/01,2020/11/22,"science-fiction, fiction","science-fiction (#16), fiction (#178)",read,,,,1,,,0,,,,,
18710190,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,"=""0007524277""","=""9780007524273""",3,3.62,HarperCollins Children's Book's,Paperback,526,2013,2013,,2020/11/22,"science-fiction, update, fiction","science-fiction (#13), update (#18), fiction (#175)",read,,,,1,,,0,,,,,
2415887,"The Host (The Host, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""1847441843""","=""9781847441843""",4,3.84,Sphere,Paperback,617,2008,2008,,2020/11/22,"science-fiction, update, fiction","science-fiction (#10), update (#15), fiction (#172)",read,,,,1,,,0,,,,,
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""0062024035""","=""9780062024039""",4,4.19,Katherine Tegen Books,Paperback,487,2012,2011,,2020/11/22,"science-fiction, update, fiction","science-fiction (#11), update (#16), fiction (#173)",read,,,,1,,,0,,,,,
13598952,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,"=""0062127845""","=""9780062127846""",4,4.02,Katherine Tegen Books,Paperback,525,2012,2012,,2020/11/22,"science-fiction, update, fiction","science-fiction (#12), update (#17), fiction (#174)",read,,,,1,,,0,,,,,
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865384""","=""9780689865381""",4,3.85,Simon Pulse,Paperback,425,2005,2005,2009/02/01,2020/11/22,"science-fiction, fiction","science-fiction (#14), fiction (#176)",read,,,,1,,,0,,,,,
45046893,Oona Out of Order,Margarita Montimore,"Montimore, Margarita",,"=""1250236606""","=""9781250236609""",0,3.86,Flatiron Books,Hardcover,339,2020,2020,,2020/08/08,"to-read, science-fiction, fiction","to-read (#3), science-fiction (#9), fiction (#171)",to-read,,,,0,,,0,,,,,
45027767,Self Care,Leigh Stein,"Stein, Leigh",,"=""0143135198""","=""9780143135197""",0,3.24,Penguin,Paperback,256,2020,2020,,2021/01/17,"to-read, contemporary, fiction","to-read (#323), contemporary (#36), fiction (#169)",to-read,,,,0,,,0,,,,,
51704136,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0143135163""","=""9780143135166""",0,4.10,Penguin Group,Paperback,368,2020,2017,,2021/01/22,"to-read, contemporary, fiction","to-read (#331), contemporary (#37), fiction (#170)",to-read,,,,0,,,0,,,,,
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""0316921173""","=""9780316921176""",0,4.28,Back Bay Books,Paperback,1088,2005,1996,,2021/01/15,"to-read, contemporary, fiction","to-read (#315), contemporary (#34), fiction (#167)",to-read,,,,0,,,0,,,,,
38355173,The Geography of Lost Things,Jessica Brody,"Brody, Jessica",,"=""1481499211""","=""9781481499217""",0,3.87,Simon Pulse,Hardcover,458,2018,2018,,2020/12/20,"contemporary, to-read, fiction","contemporary (#31), to-read (#333), fiction (#164)",to-read,,,,0,,,0,,,,,
